,Data,UF-Cidade,Temp. Min.,Temp. Max.,Nasc. Sol,Por Sol,% Chuva,IUV,UF,Cidade
133,2019-12-19,MG/Santa-Luzia,20,30,0 days 05:12:00.000000000,0 days 18:32:00.000000000,87,13,MG,Santa Luzia
134,2019-12-19,SP/Hortolândia,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,SP,Hortolândia
135,2019-12-19,MT/Rondonópolis,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,MT,Rondonópolis
136,2019-12-19,MS/Dourados,20,27,0 days 05:51:00.000000000,0 days 19:21:00.000000000,80,13,MS,Dourados
137,2019-12-19,RS/Rio-Grande,18,27,0 days 05:17:00.000000000,0 days 19:32:00.000000000,5,12,RS,Rio Grande
138,2019-12-19,ES/Cachoeiro-de-Itapemirim,20,34,0 days 04:59:00.000000000,0 days 18:23:00.000000000,80,13,ES,Cachoeiro de Itapemirim
139,2019-12-19,RS/Alvorada,19,31,0 days 05:19:00.000000000,0 days 19:23:00.000000000,5,12,RS,Alvorada
140,2019-12-19,SC/Criciúma,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,SC,Criciúma
141,2019-12-19,RJ/Cabo-Frio,23,27,0 days 04:58:00.000000000,0 days 18:31:00.000000000,80,13,RJ,Cabo Frio
142,2019-12-19,GO/Rio-Verde,19,30,0 days 05:44:00.000000000,0 days 18:56:00.000000000,80,13,GO,Rio Verde
143,2019-12-19,SC/Chapecó,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,SC,Chapecó
144,2019-12-19,SC/Itajaí,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,SC,Itajaí
145,2019-12-19,CE/Sobral,24,37,0 days 05:28:00.000000000,0 days 17:48:00.000000000,27,12,CE,Sobral
146,2019-12-19,SP/Rio-Claro,17,27,0 days 05:22:00.000000000,0 days 18:52:00.000000000,80,13,SP,Rio Claro
147,2019-12-19,PE/Cabo-de-Santo-Agostinho,25,31,0 days 04:58:00.000000000,0 days 17:35:00.000000000,30,12,PE,Cabo de Santo Agostinho
